,ID,Name,Other Name,Category,Score,TDSHV,Bookmarks,Reviews,LOD,Price Range,Location,Location 2,Address,URL
0,r688087,PHI Coffee & Pancake,,"['Western', 'All Day Breakfast', 'Coffee Shop']",4,"['30', '40', '40', '40', '30']",5065,257 Reviews,"['191', '30', '15']",$51-100,Mei Foo,Mei Foo,"Shop 91A, G/F, Mei Foo Sun Chuen, 69-119 Broadway Street, Mei Foo",https://www.openrice.com/en/hongkong/r-phi-coffee-pancake-mei-foo-western-all-day-breakfast-r688087
1,r642918,正點心,,"['Guangdong', 'Dim Sum']",4.5,"['40', '40', '40', '40', '40']",2184,176 Reviews,"['151', '14', '3']",$101-200,Mei Foo,Mei Foo,"Shop N29A, G/F, 6 Humbert Street, Mei Foo Sun Chuen, Mei Foo",https://www.openrice.com/en/hongkong/r-%E6%AD%A3%E9%BB%9E%E5%BF%83-mei-foo-guangdong-dim-sum-r642918
2,r682112,美孚。友樂鮨,Yu Raku Sushi,['Japanese'],4.5,"['40', '40', '40', '40', '40']",854,84 Reviews,"['81', '1', '0']",$401-800,Mei Foo,Mei Foo,"G/F, 5 Nassau Street,Mei Foo Sun Chuen, Mei Foo",https://www.openrice.com/en/hongkong/r-yu-raku-sushi-mei-foo-japanese-r682112
3,r483514,車輪餅小姐,Ms. Wheel Pie,"['Hong Kong Style', 'Japanese', 'Dessert', 'Snack Shop & Deli']",3.5,"['30', '30', '30', '30', '30']",7259,244 Reviews,"['123', '61', '14']",Below $50,Mei Foo,Mei Foo,"Shop 50B7, 19 Glee Path, Mei Foo Sun Chuen, Mei Foo",https://www.openrice.com/en/hongkong/r-ms-wheel-pie-mei-foo-hong-kong-style-dessert-r483514
4,r747642,PIZZA CASA by House of Joy,,"['Italian', 'Pizza']",4.5,"['40', '40', '40', '40', '40']",567,78 Reviews,"['77', '0', '1']",$101-200,Mei Foo,Mei Foo,"Block H, Jao Tsung-I Academy, 800 Castle Peak Road, Mei Foo",https://www.openrice.com/en/hongkong/r-pizza-casa-by-house-of-joy-mei-foo-italian-pizza-r747642
5,n-r8096,滄浪亭,Tsong Long Ting,"['Shanghai', 'Ramen', 'Stir-Fry']",3.5,"['40', '20', '30', '30', '30']",5347,184 Reviews,"['112', '27', '11']",Below $50,Mei Foo,Mei Foo,"Shop 65, Platform, Mei Foo Sun Chuen Stage 2, Mei Foo",https://www.openrice.com/en/hongkong/r-tsong-long-ting-mei-foo-shanghai-ramen-r8096
6,r599391,鮨德,Sushitoku,"['Japanese', 'Sushi/Sashimi', 'Omakase', 'Izakaya']",4,"['40', '40', '30', '40', '30']",2764,83 Reviews,"['53', '8', '2']",$201-400,Mei Foo,Mei Foo,"Shop 101A, 1/F, Manhattan Hill Tower, 1 Po Lun Street, Mei Foo",https://www.openrice.com/en/hongkong/r-sushitoku-mei-foo-japanese-omakase-r599391
7,r464741,賀喜 (美孚新邨),Gaki Japanese Restaurant (Mei Foo Sun Chuen),"['Japanese', 'Sushi/Sashimi', 'Udon', 'Skewer', 'Yoshoku']",4,"['40', '30', '40', '40', '30']",3261,161 Reviews,"['128', '13', '1']",$101-200,Mei Foo,Mei Foo,"Shop N2, G/F, 1-24 Nassau Street, Phase V Mei Foo Sun Chuen, Mei Foo",https://www.openrice.com/en/hongkong/r-gaki-japanese-restaurant-mei-foo-japanese-udon-r464741
8,r702270,Hong Kong Burger (美孚新邨),,"['American', 'Pizza', 'Hamburger']",4.5,"['40', '30', '40', '40', '40']",948,47 Reviews,"['41', '1', '1']",$51-100,Mei Foo,Mei Foo,"Shop 74C, G/F, Mei Foo Sun Chuen Phase 3, 6-8 Glee Path, Mei Foo",https://www.openrice.com/en/hongkong/r-hong-kong-burger-mei-foo-american-pizza-r702270
9,r707867,八號草,RINK 8,['Western'],4.5,"['40', '40', '40', '40', '40']",1184,46 Reviews,"['39', '1', '0']",$101-200,Mei Foo,Mei Foo,"1/F, Bowling Center, Mei Foo Sun Chuen Stage 4 Shopping Centre, 77 Broadway Street, Mei Foo",https://www.openrice.com/en/hongkong/r-rink-8-mei-foo-western-r707867
